recipe_A_id,recipe_A_name,recipe_A_picture,recipe_B_id,recipe_B_name,recipe_B_picture,correct_answer
21120,Shrimp and Feta Cheese Pasta,pictures/recipes_21100_21199/recipe_21120.png,21799,Shrimp with Tomatoes and Feta Cheese,pictures/recipes_21700_21799/recipe_21799.png,2
20819,Venison Vegetable Soup,pictures/recipes_20800_20899/recipe_20819.png,17243,Vegetable Soup II,pictures/recipes_17200_17299/recipe_17243.png,2
20169,Portuguese Sweet Bread IV,pictures/recipes_20100_20199/recipe_20169.png,16916,Portuguese Sweet Bread III,pictures/recipes_16900_16999/recipe_16916.png,2
17349,Coffee Cake Supreme,pictures/recipes_17300_17399/recipe_17349.png,21216,Eggless Coffee Cake,pictures/recipes_21200_21299/recipe_21216.png,1
23916,Beef or Moose Jerky,pictures/recipes_23900_23999/recipe_23916.png,16242,Beef Jerky in a Smoker,pictures/recipes_16200_16299/recipe_16242.png,1
23834,Fettuccine Alfredo V,pictures/recipes_23800_23899/recipe_23834.png,19403,Really Creamy Fettuccine Alfredo,pictures/recipes_19400_19499/recipe_19403.png,1
19399,Kim's Chicken Alfredo,pictures/recipes_19300_19399/recipe_19399.png,12069,Chicken Manicotti Alfredo,pictures/recipes_12000_12099/recipe_12069.png,2
10159,Cranberry Almond Biscotti,pictures/recipes_10100_10199/recipe_10159.png,15282,Orange Cranberry Biscotti,pictures/recipes_15200_15299/recipe_15282.png,2
10562,Whoopie Pies IV,pictures/recipes_10500_10599/recipe_10562.png,15499,Whoopie Pies VI,pictures/recipes_15400_15499/recipe_15499.png,1
21480,Pancakes II,pictures/recipes_21400_21499/recipe_21480.png,24152,Banana Pancakes II,pictures/recipes_24100_24199/recipe_24152.png,1
