question_id,recipe_A_id,recipe_A_name,recipe_A_picture,recipe_B_id,recipe_B_name,recipe_B_picture,correct_answer
1,12137,Pie Crust II,pictures/recipes_12100_12199/recipe_12137.png,12241,Lemon Pie II,pictures/recipes_12200_12299/recipe_12241.png,2
2,18864,Turkey and Stuffing Casserole,pictures/recipes_18800_18899/recipe_18864.png,13819,Elegant Turkey Stuffing,pictures/recipes_13800_13899/recipe_13819.png,1
3,11267,Michelle's Soft Sugar Cookies,pictures/recipes_11200_11299/recipe_11267.png,15295,Soft Sugar Cookies IV,pictures/recipes_15200_15299/recipe_15295.png,2
4,19020,Chocolate Turtles® Cheesecake,pictures/recipes_19000_19099/recipe_19020.png,17413,Chocolate Cheesecake IV,pictures/recipes_17400_17499/recipe_17413.png,1
5,10952,Cornmeal Cookies I,pictures/recipes_10900_10999/recipe_10952.png,11313,Cornmeal Cookies III,pictures/recipes_11300_11399/recipe_11313.png,1
6,14411,German Potato Salad,pictures/recipes_14400_14499/recipe_14411.png,14201,Potato Salad I,pictures/recipes_14200_14299/recipe_14201.png,2
7,15998,Crust for Veggie Pot Pie,pictures/recipes_15900_15999/recipe_15998.png,18473,Pie Crust V,pictures/recipes_18400_18499/recipe_18473.png,1
8,18788,Summer Zucchini Casserole,pictures/recipes_18700_18799/recipe_18788.png,13959,Eggplant and Zucchini Casserole,pictures/recipes_13900_13999/recipe_13959.png,1
9,18237,Deep Fried Oysters,pictures/recipes_18200_18299/recipe_18237.png,19477,Dorsey's Fried Oysters,pictures/recipes_19400_19499/recipe_19477.png,1
10,16120,Vegetable and Feta Latkes,pictures/recipes_16100_16199/recipe_16120.png,16880,Vegetable Feta Rice,pictures/recipes_16800_16899/recipe_16880.png,1
