recipe_A_id,recipe_A_name,recipe_A_picture,recipe_A_ingredients,recipe_B_id,recipe_B_name,recipe_B_picture,recipe_B_ingredients,correct_answer
17195,Sausage Balls II,pictures/recipes_17100_17199/recipe_17195.png,"1 ½ cups biscuit mix #1 cup shredded Cheddar cheese #1 pound fresh, ground pork sausage ",15671,Rum Balls II,pictures/recipes_15600_15699/recipe_15671.png,"1 (9 inch) white cake - cooked, cooled and crumbled #½ cup heavy whipping cream #3 (1 ounce) squares semisweet chocolate, melted #2 tablespoons dark rum #⅝ cup ground almonds #1 (1.75 ounce) package chocolate sprinkles (jimmies) ",1
11726,Cafeteria Macaroni and Cheese,pictures/recipes_11700_11799/recipe_11726.png,"8 ounces macaroni #1 ½ cups milk #1 ½ teaspoons ground mustard #1 teaspoon Worcestershire sauce #¾ teaspoon salt #1 dash hot pepper sauce #1 ½ tablespoons butter #3 ½ cups shredded Cheddar cheese, divided #½ cup bread crumbs #2 tablespoons butter, melted #½ teaspoon paprika ",11889,Macaroni And Cheese II,pictures/recipes_11800_11899/recipe_11889.png,"2 (11 ounce) cans condensed cream of Cheddar cheese soup #1 ⅜ cups milk #2 teaspoons prepared mustard #¼ teaspoon ground black pepper #3 cups rotini pasta #2 tablespoons bread crumbs #1 tablespoon butter, melted ",1
21487,Easy Potato Pancakes,pictures/recipes_21400_21499/recipe_21487.png,"5 potatoes, peeled and shredded #2 eggs, beaten #1 onion, finely chopped #3 tablespoons all-purpose flour # salt and pepper to taste #3 tablespoons vegetable oil ",21304,Dad's Potato Pancakes,pictures/recipes_21300_21399/recipe_21304.png,"5 pounds potatoes, peeled #1 onion #3 eggs, beaten #2 ½ cups dry pancake mix #2 teaspoons salt #1 teaspoon ground black pepper #1 tablespoon vegetable oil ",1
10270,Candy Cane Cookies II,pictures/recipes_10200_10299/recipe_10270.png,1 cup butter #1 cup sifted confectioners' sugar #1 egg #1 ½ teaspoons almond extract #1 teaspoon vanilla extract #2 ½ cups all-purpose flour #1 teaspoon salt #½ cup crushed peppermint hard candies #½ cup white sugar ,10095,Candy Cane Cookies I,pictures/recipes_10000_10099/recipe_10095.png,½ cup butter #½ cup shortening #1 cup sifted confectioners' sugar #1 egg #1 ½ teaspoons almond extract #1 teaspoon vanilla extract #2 ½ cups sifted all-purpose flour #1 teaspoon salt #½ teaspoon red food coloring ,2
12532,Impossible Buttermilk Pie,pictures/recipes_12500_12599/recipe_12532.png,"1 ½ cups white sugar #1 cup buttermilk #½ cup baking mix #⅓ cup butter, melted #1 teaspoon vanilla extract #3 eggs ",13802,Buttermilk Pie,pictures/recipes_13800_13899/recipe_13802.png,"3 eggs #½ cup butter, softened #1 ½ cups white sugar #3 tablespoons all-purpose flour #1 cup buttermilk #1 teaspoon vanilla extract #1 tablespoon lemon juice #⅛ teaspoon freshly grated nutmeg #1 (9 inch) unbaked pie crust ",2
23867,French Onion Soup VII,pictures/recipes_23800_23899/recipe_23867.png,"¼ cup butter #8 onions, sliced #1 quart vegetable broth #1 ½ cups white wine # salt and pepper to taste #6 slices baguette #2 cups shredded mozzarella cheese ",18076,Southern Style French Onion Soup,pictures/recipes_18000_18099/recipe_18076.png,"4 tablespoons butter #1 onion, sliced #½ teaspoon dried thyme #5 (10.5 ounce) cans beef consomme #6 bay leaves #½ cup white wine (Optional)#1 French baguette, cut into 1/2 inch slices #2 cups shredded mozzarella cheese ",2
11236,Aunt Betz Cookies,pictures/recipes_11200_11299/recipe_11236.png,2 eggs #1 cup white sugar #¾ cup butter #2 ½ cups graham cracker crumbs #2 cups miniature marshmallows #12 ounces semisweet chocolate chips #3 tablespoons peanut butter #½ cup chopped walnuts #½ cup shredded coconut ,24451,Aunt Sally Cookies,pictures/recipes_24400_24499/recipe_24451.png,1 cup white sugar #2 cups shortening #2 egg yolks #1 cup molasses #5 ½ cups all-purpose flour #2 teaspoons cream of tartar #4 teaspoons baking soda #2 teaspoons salt #1 tablespoon ground cinnamon #1 tablespoon ground ginger #1 cup sour milk #1 ½ cups white sugar #½ teaspoon distilled white vinegar #½ cup water #18 large marshmallows #2 egg whites #1 ½ cups confectioners' sugar #1 teaspoon vanilla extract ,1
10495,Oat Bars,pictures/recipes_10400_10499/recipe_10495.png,1 egg #⅓ cup vegetable oil #⅓ cup honey #1 cup sifted whole wheat flour #2 cups rolled oats #1 cup wheat germ #⅔ cup orange juice #1 teaspoon vanilla extract ,24442,Cranberry Oat Bars,pictures/recipes_24400_24499/recipe_24442.png,2 cups fresh or frozen cranberries #¾ cup sugar #2 tablespoons orange zest #1 ½ cups all-purpose flour #1 ½ cups rolled oats #1 cup packed light brown sugar #1 teaspoon baking powder #½ teaspoon salt #¾ cup butter ,2
15677,Lemon Icebox Pie I,pictures/recipes_15600_15699/recipe_15677.png,1 (9 inch) prepared graham cracker crust #1 (14 ounce) can sweetened condensed milk #3 egg yolks #½ cup lemon juice #3 egg whites #5 teaspoons white sugar ,12660,Lemon Blueberry Pie,pictures/recipes_12600_12699/recipe_12660.png,"1 (14 ounce) can sweetened condensed milk #¼ cup lemon juice #1 ½ cups fresh blueberries #2 egg yolks #2 (9 inch) pie shells, baked #8 egg whites #¼ cup white sugar #¼ teaspoon cream of tartar ",1
19664,Delicious Shrimp Dip,pictures/recipes_19600_19699/recipe_19664.png,"1 (8 ounce) container sour cream #1 (8 ounce) package cream cheese, softened #1 ½ cups mayonnaise #3 tablespoons Worcestershire sauce #3 tablespoons dried parsley #1 ½ teaspoons onion salt #1 ½ teaspoons celery salt #1 pinch garlic salt #1 (4 ounce) can small shrimp, drained ",24648,Secret Shrimp Dip,pictures/recipes_24600_24699/recipe_24648.png,"1 (8 ounce) package cream cheese, softened #1 (8 ounce) container sour cream #1 clove garlic, finely chopped #¼ cup chopped fresh cilantro #1 (6.5 ounce) can small shrimp, liquid reserved # salt and pepper to taste ",1
