,name,id,description,picture,servings,calories,reviews,rating,carbohydrates,sugars,fat,saturated fat,cholesterol,calcium,iron,magnesium,potassium,sodium,ingredients,dietary fiber
0,Honey Pork Fillets,14501,Great way to prepare butterflied pork chops! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F560414.jpg,4,272.9,12,4.3,32.6,19.8,5.1,1.7,0.0594,0.1714,0.0079,0.0443,1.4724000000000002,1.3967,4 pork chops #4 teaspoons honey #2 cups Worcestershire sauce # ground black pepper to taste ,0.0
1,Grilled Tuna Teriyaki,14502,"Delicious right off the grill! Take care not to overcook the steaks, as tuna can quickly become quite dry. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1207362.jpg,4,227.4,56,4.5,1.5,0.2,5.1,0.9,0.07709999999999999,0.032,0.0014,0.089,0.7828999999999999,0.3286,"2 tablespoons light soy sauce #1 tablespoon Chinese rice wine #1 tablespoon minced fresh ginger root #1 large clove garlic, minced #4 (6 ounce) tuna steaks (about 3/4 inch thick) #1 tablespoon vegetable oil ",0.1
2,Maple Glazed Ribs,14503,"Basted with a savory sweet sauce, these ribs are definitely finger-licking good! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F29332.jpg,6,485.2,168,4.5,30.5,14.3,29.5,10.9,0.1171,0.0554,0.0016,0.024399999999999998,0.3702,0.4111,3 pounds baby back pork ribs #¾ cup maple syrup #2 tablespoons packed brown sugar #2 tablespoons ketchup #1 tablespoon cider vinegar #1 tablespoon Worcestershire sauce #½ teaspoon salt #½ teaspoon mustard powder ,0.1
3,California Grilled Veggie Sandwich,14504,"I came up with this recipe to entertain friends. Since I am a semi-vegetarian and love to BBQ, I am always inventing something new. The first time I made this, my meat-lover friends raved about this dish! I prefer mesquite coals over gas barbeques...however, either works fine. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8946951.jpg,4,392.9,856,4.9,36.5,4.7,23.8,5.9,0.0219,0.15869999999999998,0.0023,0.0353,0.3324,0.6234,"¼ cup mayonnaise #3 cloves garlic, minced #1 tablespoon lemon juice #⅛ cup olive oil #1 cup sliced red bell peppers #1 small zucchini, sliced #1 red onion, sliced #1 small yellow squash, sliced #2 (4-x6-inch) focaccia bread pieces, split horizontally #½ cup crumbled feta cheese ",3.2
4,Savory Grilled Onions,14505,"Use your grill for more than just the main coarse! Place a foil packet of onions on the grill 15 minutes before you start the meat, and they will be ready at the same time. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F730349.jpg,8,131.7,20,4.3,7.0,3.2,11.6,7.3,0.0305,0.0207,0.0002,0.0078,0.1129,0.0847,4 large onions #½ cup butter # salt and pepper to taste ,1.3
5,BBQ Corn,14506,"Work that smoker magic on corn on cob. Be sure to get the corn before the produce person trims off some of the outer husks. The corn must be completely covered by the husk. Use peeled back husks for handles when eating. This recipe multiplies well, and can be used to make corn for a crowd. You will need bagged ice for this recipe to keep the corn cold. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F658171.jpg,10,120.5,35,4.3,20.7,2.9,1.1,0.2,0.0,0.0154,0.0005,0.0425,0.2733,0.027100000000000003,10 ears fresh corn with husks #1 quart beer #1 (7 pound) bag of ice cubes ,2.4
6,Grilled Poblano Pepper and Mango Quesadillas,14507,"We developed this recipe after trying a similar appetizer at a restaurant in Austin, TX. Depending on the peppers, these quesadillas can be mild and fruity or spicy hot. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F766041.jpg,8,635,45,4.3,85.5,4.0,15.6,9.8,0.0461,0.2075,0.0050999999999999995,0.0426,0.2787,0.8132999999999999,"16 (10 inch) flour tortillas #1 (8 ounce) package cream cheese, softened #1 mango, peeled and diced #1 fresh poblano pepper, seeded and minced #¼ cup butter, melted ",5.4
7,Tangy Grilled Beef,14508,"This recipe is good for those times when you just want to toss a steak on the grill. It requires no marinating, and the tangy basting sauce is made from readily available ingredients. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1024738.jpg,6,343.5,7,3.5,12.5,8.4,22.4,7.6,0.076,0.0222,0.0037,0.028300000000000002,0.5033,0.371,1 (10.75 ounce) can condensed tomato soup #2 tablespoons brown sugar #2 tablespoons lemon juice #2 tablespoons vegetable oil #1 tablespoon Worcestershire sauce #1 teaspoon garlic powder #¼ teaspoon dried thyme #1 ½ pounds beef top sirloin steak ,0.3
8,Texas Chili Beef Slices,14509,This is a mildly spicy recipe that my whole family loves. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F895629.jpg,6,283.4,8,3.6,12.1,7.3,13.6,3.9,0.0762,0.0422,0.0035,0.039799999999999995,0.6267999999999999,0.4044,"2 pounds round steak #1 teaspoon meat tenderizer #1 onion, chopped #2 cloves garlic, minced #2 tablespoons distilled white vinegar #2 tablespoons vegetable oil #2 tablespoons Worcestershire sauce #2 teaspoons chili powder #1 (8 ounce) can tomato sauce #1 lemon, sliced #2 tablespoons brown sugar #½ teaspoon mustard powder #¼ teaspoon hot pepper sauce ",2.1
9,Miss Bettie's Zesty Grilled Corn,14510,"This is my mom's recipe for grilled corn. It is tangy and spicy, and the BEST corn recipe I have ever tasted! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F846222.jpg,6,172.9,75,4.3,17.8,3.2,11.5,6.7,0.027100000000000003,0.0099,0.0006,0.0367,0.265,0.1782,⅓ cup butter #2 tablespoons prepared mustard #1 teaspoon Worcestershire sauce #¼ teaspoon lemon pepper #2 teaspoons prepared horseradish #6 ears fresh corn ,2.7
