,name,id,description,picture,servings,calories,reviews,rating,carbohydrates,dietary fiber,sugars,calcium,magnesium,potassium,sodium,ingredients,fat,saturated fat,cholesterol,iron
0,Sweet Candied Orange and Lemon Peel,19000,"With this easy-to-follow recipe, orange and lemon peel become an elegant--yet still a bit tart--sugared confection. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1553279.jpg,12,153.9,82,4.7,39.9,0.5,39.0,0.008199999999999999,0.0011,0.01,0.0008,"6 lemon peels, cut into 1/4 inch strips #4 orange peels, cut into 1/4 inch strips #2 cups white sugar #1 cup water #⅓ cup white sugar for decoration ",0.0,0.0,0.0,0.0
1,Candy Ice Cream,19001,This is easy to make and can be made fairly low-fat. Use your favorite chocolate candies or substitute three crushed candy bars. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F421610.jpg,4,1223.1,59,4.5,184.1,1.9,178.1,0.5086,0.0727,0.7717999999999999,0.2432,"1 (12 ounce) container frozen whipped topping, thawed #1 (14 ounce) can sweetened condensed milk #1 cup white sugar #1 teaspoon vanilla extract #1 ½ cups candy-coated chocolate pieces #1 pinch salt #2 cups milk ",48.7,35.4,0.054,0.0012
2,Five Ingredient Ice Cream,19002,"It takes only 5 ingredients to make this fabulously creamy family pleaser! Before freezing, you can also add crushed sandwich cookies, nuts, chocolate chips, coconut or other favorites! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F453291.jpg,12,237.2,145,4.5,21.8,0.0,20.8,0.1216,0.004,0.0466,0.07709999999999999,½ cup cold milk #1 tablespoon vanilla extract #1 (14 ounce) can sweetened condensed milk #⅛ teaspoon salt #1 pint heavy cream ,14.9,9.3,0.0593,0.0
3,Cherry Dessert,19003,"A cracker crust, a creamy middle layer and cherry topping make this simple but wonderful treat. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7730901.jpg,9,447.6,62,4.7,32.1,0.6,15.0,0.0497,0.01,0.11259999999999999,0.3363,"1 ¼ cups graham cracker crumbs #¾ cup margarine, melted #1 (8 ounce) package cream cheese #½ cup white sugar #1 dash vanilla extract #1 dash almond extract #1 cup heavy cream #1 (12 ounce) can cherry pie filling ",34.6,14.3,0.0636,0.0008
4,Chi Chi's Corn Cake,19004,Serve this lightly sweetened corn pudding hot or cold. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F389420.jpg,10,168.7,47,4.5,18.1,1.3,7.6,0.0206,0.0132,0.07909999999999999,0.147,½ cup butter #⅓ cup masa harina #¼ cup water #1 ½ cups whole kernel corn #¼ cup cornmeal #⅓ cup white sugar #2 tablespoons heavy cream #¼ teaspoon salt #½ teaspoon baking powder ,10.8,6.6,0.0285,0.0006
5,Chocolate Chip Cookie Ice Cream Cake,19005,Vary this dessert by using different flavors of ice cream. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9066231.jpg,12,532.6,284,4.8,66.5,2.7,46.5,0.1631,0.0339,0.322,0.3163,"1 (18 ounce) package small chocolate chip cookies #¼ cup margarine, melted #1 cup hot fudge topping #2 quarts vanilla ice cream #1 cup whipped cream #12 cherries cherries ",28.2,12.0,0.0425,0.0019
6,Chocaholics Delight,19006,A rich gooey delight. Enjoy! ,0,12,524.4,3,4.2,62.3,2.3,40.1,0.072,0.0211,0.1435,0.44189999999999996,"5 king size bars milk chocolate covered caramel and nougat #½ cup butter, melted #15 ounces digestive biscuits, crushed #2 chocolate covered caramel cookie bars, such asTwix® #2 eggs, beaten #⅓ cup raisins #½ cup chopped hazelnuts ",28.4,15.2,0.055799999999999995,0.0007
7,Chocolate Decadence,19007,"This rich, romantic, baked chocoholic dessert is frequently asked for by my catering clients. Garnish with whipped cream and chocolate curls. ",0,6,249.6,12,4.2,16.2,2.0,14.2,0.011800000000000001,0.0023,0.0256,0.21459999999999999,"6 ounces semisweet chocolate, chopped #5 tablespoons butter, room temperature #2 eggs, room temperature #½ teaspoon vanilla extract #¼ teaspoon salt ",20.2,11.6,0.0871,0.0017
8,Chocolate Delight,19008,This is the most delightful chocolate dessert that you will ever taste! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3037647.jpg,12,1114.2,58,4.6,144.8,3.6,30.9,0.26289999999999997,0.07709999999999999,0.4663,0.7715,"2 (8 or 9 inch) baked round chocolate cake layers, cooled #1 cup coffee-flavored liqueur #2 (5.9 ounce) packages instant chocolate pudding mix #4 cups milk, or as needed #6 (1.4 ounce) bars chocolate covered toffee bars, chopped #2 (12 ounce) containers frozen whipped topping, thawed #1 (1 ounce) square semisweet chocolate ",47.2,25.0,0.12840000000000001,0.0034
9,Chocolate Eclair Dessert,19009,This is a no-bake pudding dessert that's so quick and easy to make--everyone loves it. I always keep the ingredients on hand in case I need a quick dessert. It's best if it sits overnight before serving. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9431696.jpg,12,400.5,1244,4.5,65.6,0.9,47.1,0.0824,0.0224,0.2025,0.4813,"2 individual packages graham crackers #2 (3 ounce) packages instant vanilla pudding mix #3 cups milk #1 (8 ounce) container frozen whipped topping, thawed #1 (16 ounce) package prepared chocolate frosting ",13.7,6.4,0.004900000000000001,0.0015
