,name,id,description,picture,servings,calories,reviews,rating,carbohydrates,sugars,calcium,magnesium,potassium,sodium,ingredients,dietary fiber,fat,saturated fat,cholesterol,iron
0,Homemade Marshmallows II,21000,"These are delicious homemade marshmallows. If you wish, add a few drops of food coloring with the vanilla. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F826.jpg,24,127.8,59,2.3,32.9,31.1,0.0008,0.0001,0.0012,0.0264,3 cups white sugar #¼ cup corn syrup #¼ teaspoon salt #¾ cup water #2 teaspoons vanilla extract #1 cup confectioners' sugar for dusting ,0.0,0.0,0.0,0.0,0.0
1,Wild Rice Soup IV,21001,Northern Minnesota favorite on those cold winter days and an easy summer dinner that is good with fresh made bread. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6324246.jpg,12,421.8,8,4.2,12.1,1.3,0.016300000000000002,0.023899999999999998,0.272,0.9931,2 pounds bacon #1 cup uncooked wild rice #2 cups water #½ cup chopped onion #½ cup chopped celery #½ cup chopped green bell pepper #1 (10.75 ounce) can condensed cream of mushroom soup #1 (10.75 ounce) can condensed cream of chicken soup #2 (14.5 ounce) cans chicken broth #3 ½ cups water ,1.1,36.3,11.9,0.053200000000000004,0.0011
2,Chocolate Sausage (Salame di Cioccolato),21002,"When I was young I loved this recipe! And I must admit that I still love it a lot! It's an easy no-baking sweet that every kid will enjoy both to make and to eat! If the dough is too hard you can add 1 or 2 tablespoons of milk or melted butter. This recipe contains raw eggs. We recommend that pregnant women, young children, the elderly and the infirm do not consume raw eggs. ",0,25,77.8,2,3.1,11.8,6.6,0.0143,0.0264,0.0853,0.027100000000000003,"⅔ cup white sugar #1 egg yolk #1 egg #1 tablespoon butter, melted #1 ⅛ cups unsweetened cocoa powder #5 ounces crispy butter cookies, crushed #⅓ cup ground almonds ",1.6,3.6,1.4,0.0235,0.0008
3,Indian Vegetable Rice,21003,A lovely vegetable recipe full of flavor which can be eaten by itself. Delicious if eaten with plain yogurt. Create your own variation with different vegetables and spices. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3620638.jpg,2,514.7,50,4.0,87.1,3.6,0.0415,0.0235,0.2313,0.9046000000000001,"2 tablespoons vegetable oil #1 onion, thinly sliced #½ teaspoon ground cumin #1 cup Basmati rice #2 cups water #¾ teaspoon salt #½ teaspoon garam masala #¾ cup frozen mixed vegetables ",4.3,15.4,2.6,0.0,0.0015
4,Fried Egg Sandwich,21004,Great comfort food! You can use any type of bread or cheese that you want for this quick and easy breakfast. Serve with fruit and juice and/or milk for a full breakfast. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F434326.jpg,4,385.6,178,4.6,28.2,4.5,0.26089999999999997,0.026699999999999998,0.195,0.9698,2 teaspoons butter #4 eggs #4 slices processed American cheese #8 slices toasted white bread # salt and pepper to taste #2 tablespoons mayonnaise #2 tablespoons ketchup ,1.2,23.0,9.6,0.2206,0.0029
5,Easy Banana Fritters,21005,"I was craving apple fritters but wasn't able to get to the donut shop. So I looked around to find on hand ingredients to satisfy my craving. I didn't have apples, but I had some very nice ripe bananas. That's when I came up with these. You won't be disappointed! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F387766.jpg,6,386,183,4.2,51.8,31.1,0.0554,0.0183,0.19569999999999999,0.3009,"2 ripe bananas #2 tablespoons milk #2 eggs #1 tablespoon margarine, melted #1 cup all-purpose flour #3 tablespoons white sugar #1 teaspoon baking powder #½ teaspoon salt #¼ teaspoon ground cinnamon #1 pinch ground nutmeg #1 quart oil for frying #1 cup confectioners' sugar for dusting ",1.7,18.6,2.9,0.0624,0.0015
6,Fried Cornmeal Mush,21006,This recipe reminds me of the 'good ol' days'. I hope you enjoy this great tasting recipe. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F107542.jpg,4,152.8,114,4.6,27.3,0.6,0.0022,0.012199999999999999,0.053399999999999996,0.6042000000000001,3 cups water #1 teaspoon salt #1 cup yellow cornmeal #1 tablespoon butter ,1.4,3.5,1.9,0.0076,0.0015
7,Mom's Prize Winning Raw Apple Cake,21007,"We laugh about the title, Mom got the recipe the day before the contest from a dear friend. There were no hard feelings! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F278552.jpg,12,362.5,46,4.4,57.2,37.6,0.0541,0.018699999999999998,0.1316,0.1911,"1 cup white sugar #½ cup brown sugar #2 ¼ cups all-purpose flour #¼ teaspoon salt #1 teaspoon baking soda #2 teaspoons ground cinnamon #½ cup vegetable oil #2 eggs, beaten #1 cup sour milk #2 cups apples - peeled, cored and chopped #¼ cup brown sugar #¼ cup white sugar #½ cup chopped walnuts #½ teaspoon ground cinnamon ",1.7,13.5,2.1,0.0318,0.0016
8,Wild Rice Cheese Soup,21008,"The original recipe calls for italian sausage, but this cheesy soup is great with ground beef or venison. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2021791.jpg,12,371.5,25,4.5,18.8,6.7,0.30689999999999995,0.0366,0.3557,1.1152,"1 pound ground Italian sausage #1 small onion, diced #1 cup uncooked wild rice #1 (10.75 ounce) can condensed cream of potato soup #1 (10.75 ounce) can condensed cream of chicken soup #1 cup milk #1 cup evaporated milk #1 pound processed cheese, cubed ",1.1,25.4,11.7,0.0698,0.0013
9,Sheet Pan Roasted Vegetables,21009,"Succulent roasted vegetables with a sweet and smoky, herby taste. Good for a main course with noodles or rice, or as a side dish. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9431233.jpg,24,71.9,99,4.4,7.3,3.6,0.023399999999999997,0.023600000000000003,0.32630000000000003,0.0111,"8 zucchini, peeled and chopped #1 eggplant, peeled and diced #8 carrots, diced #16 cherry tomatoes #2 red onions, sliced #1 red bell pepper, sliced #1 yellow bell pepper, sliced #½ cup olive oil #1 teaspoon dried rosemary #1 teaspoon dried thyme #2 bay leaves, crushed #1 teaspoon dried oregano #2 cloves garlic, minced #2 tablespoons fresh lemon juice #1 teaspoon grated lemon zest # salt and pepper to taste ",2.3,4.7,0.7,0.0,0.0007
10,Golden Penny Pancakes,21011,"Small pancakes with cheddar cheese. Good with maple syrup or fruit, or on their own. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F25015.jpg,4,314.5,6,3.7,23.1,4.7,0.36,0.0216,0.1613,0.3533,¾ cup all-purpose flour #1 ½ teaspoons white sugar #1 ½ teaspoons baking powder #1 cup shredded sharp Cheddar cheese #1 egg #1 cup milk #2 tablespoons vegetable oil ,0.6,18.8,8.2,0.081,0.0017
11,Sweet Potato Minestrone,21013,"This soup is full of healthy antioxidants. A very hearty soup for a cold winter night! I serve it with hot garlic bread. If you are lucky enough to have leftovers, it's great the next day! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F561951.jpg,6,201.3,212,4.5,39.9,15.8,0.12819999999999998,0.0433,0.734,0.6106,"1 tablespoon vegetable oil #1 large onion, chopped #2 large stalks celery, chopped #2 ½ teaspoons Italian seasoning # salt and pepper to taste #1 (28 ounce) can Italian-style diced tomatoes #5 cups vegetable broth #2 large sweet potatoes, peeled and diced #2 large carrots, sliced thin #6 ounces green beans, cut into 1 inch pieces #5 cloves garlic, minced ",7.6,2.7,0.4,0.0,0.004900000000000001
12,Good Old Fashioned Pancakes,21014,"This is a great recipe that I found in my Grandma's recipe book. Judging from the weathered look of this recipe card, this was a family favorite. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2Fed07114896fb3e9a2c90c8950d018808%2F165231063920220511_190633_HDR.jpg,8,158.3,13231,3.5,21.7,3.5,0.1401,0.0106,0.0923,0.5036,"1 ½ cups all-purpose flour #3 ½ teaspoons baking powder #¼ teaspoon salt, or more to taste #1 tablespoon white sugar #1 ¼ cups milk #1 egg #3 tablespoons butter, melted ",0.6,5.9,3.4,0.037700000000000004,0.0014
13,Grandma's Hash Browns,21015,"My Grandma made these simple hash browns nearly every morning when I spent time with her. They take a little planning, but they're better than any others! Serve with your favorite style eggs and breakfast meat! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F517178.jpg,8,337.2,131,4.8,66.6,2.8,0.03,0.06709999999999999,1.0945,0.9297000000000001,"8 large russet potatoes, peeled #4 tablespoons butter #1 tablespoon salt #1 teaspoon ground black pepper ",6.0,6.1,3.7,0.015300000000000001,0.0011
14,Tuna Dip II,21016,"This creamy, colorful dip is a great recipe for unexpected guests or any type of gathering. Use low fat cream cheese, if desired. Adjust the quantity and heat level of salsa to taste. Serve with crackers or mini bagel chips. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F565315.jpg,16,58.8,15,3.6,0.6,0.1,0.0129,0.0034,0.0443,0.0636,"1 (5 ounce) can tuna, drained #1 (8 ounce) package cream cheese, softened #3 tablespoons salsa ",0.0,5.0,3.1,0.0178,0.0003
15,Tuna Dip I,21017,"A tangy dip that's really easy and fast. Sweet pickles are the secret ingredient. Great with buttery, round crackers or potato chips For a tangier taste, use sour cream instead of yogurt. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1060932.jpg,12,24.7,2,2.0,1.2,1.2,0.0264,0.0054,0.0579,0.0251,"1 (5 ounce) can tuna, drained #1 teaspoon mayonnaise #1 teaspoon prepared mustard #⅔ cup yogurt #1 teaspoon fresh lemon juice #2 teaspoons sweet pickles, chopped ",0.0,0.6,0.2,0.0040999999999999995,0.0002
16,Gingerbread Waffles with Hot Chocolate Sauce,21018,"Yummy and delicious. These extraordinary waffles are flavored with molasses and spices. Topped with homemade chocolate sauce, they are perfect for a special breakfast treat. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F888716.jpg,6,663.6,49,3.8,114.0,65.1,0.1671,0.1829,1.0121,1.0777,1 cup light molasses #½ cup butter #1 ½ teaspoons baking soda #½ cup milk #1 egg #2 cups all-purpose flour #1 ½ teaspoons ground ginger #½ teaspoon ground cinnamon #½ teaspoon salt #2 cups boiling water #1 cup white sugar #2 tablespoons cornstarch #½ cup unsweetened cocoa powder #1 teaspoon salt #2 teaspoons vanilla extract #2 tablespoons butter ,3.7,21.9,13.3,0.0835,0.0058
