,name,id,calories,sugars,fat,sodium,saturated fat
0,Veggie Puree,23300,67,4.6,0.5,0.48519999999999996,0.0
1,Rice Puree,23302,183,2.5,3.6,0.5636,0.8
2,Susie's Stuffies,23304,488,8.6,21.7,0.7729,8.3
3,Banana Oat Muffins with Sour Cream,23305,340,23.8,18.1,0.319,8.2
4,Cabin Dinner,23306,258,11.2,10.6,0.4983,1.5
5,Blueberry French Toast,23307,374,26.9,14.7,0.3708,7.1
6,Chicken Cacciatore,23308,564,6.5,36.8,0.2802,11.5
7,Blueberry Streusel Muffins,23309,251,17.1,10.9,0.24209999999999998,6.5
8,Hayley's M Chicken,23310,134,0.0,1.5,0.1667,0.4
9,Blueberry Topping,23311,390,92.3,0.6,0.0018,0.0
10,Japanese Chicken Wings,23312,675,33.6,44.3,1.1125,23.2
11,Tortilla Casserole,23313,277,4.0,16.7,0.6908,9.0
12,Chicken Chimichangas,23314,1595,6.1,83.7,2.3217,36.6
13,Turkish Style Eggs,23315,442,14.3,29.4,1.5985,13.8
14,Carrot Fritters,23316,592,7.1,47.1,0.6472,6.5
15,Restaurant Style Red Beans and Rice,23317,517,3.0,17.1,0.8111,6.1
16,Cream Dill Sauce,23318,212,0.4,22.4,0.13319999999999999,6.2
17,Apricot Stuffed Turkey Tenderloins with Creamy Mustard Sauce,23319,218,11.2,1.1,0.2095,0.3
18,Butter Pecan Tartlets,23320,133,7.1,8.6,0.0589,3.5
19,Butterflied Curry Turkey Tenderloins,23321,274,0.7,16.8,0.2012,3.0
20,Cinnabun Cookies,23322,138,8.7,7.2,0.1177,3.3
21,Macadamia Browned Butter Cherry Torte,23323,443,26.8,23.2,0.3222,8.8
22,Gingered Turkey with Potatoes and Chick Peas,23324,256,1.2,6.3,0.5224,1.2
23,Spicy Cardamom Crisps,23325,48,3.1,2.2,0.0434,1.3
24,Classic Pumpkin Pie,23326,375,30.2,20.3,0.29919999999999997,12.1
25,Calypso Turkey Tenderloins,23327,226,11.9,3.1,0.1031,0.8
26,Chicken and Sliders,23328,613,2.4,17.8,0.2388,4.9
27,Chocolate-Laced Pecan Pie,23329,642,34.1,41.6,0.4053,17.2
28,Florentine Stuffed Turkey Breast Half,23330,352,3.4,14.8,0.5795,2.5
29,Mexican Turkey Stuffed Shells,23331,350,3.8,9.7,0.6521,2.4
30,Ma's Premium Ice Cream Pie,23332,420,37.2,22.0,0.2731,11.3
31,Veggie Lo Mein,23333,283,3.0,2.0,0.7135,0.1
32,Momma OB's Chicken Chili,23334,281,8.3,3.6,1.3,0.5
33,Italian Style Soup,23335,500,7.5,39.1,1.3576,14.9
34,Fantastic Black Bean Chili,23336,366,1.0,9.2,0.9692000000000001,2.1
35,Cake Mix Cookies VIII,23337,166,12.1,9.7,0.21159999999999998,4.5
36,Walnut Pie II,23339,490,28.7,32.9,0.2405,12.2
37,Bar-B-Q,23340,480,19.4,21.5,0.8438,8.0
38,Brownies with Peanut Butter Fudge Frosting,23341,324,17.5,15.4,0.1904,9.0
39,Beef Burgundy I,23342,257,3.2,11.6,0.6698,3.4
40,Pastitsio III,23343,474,7.6,21.8,0.49710000000000004,7.7
41,Semolina Pudding,23344,461,53.3,16.8,0.1355,10.5
42,Anise Cookies IV,23345,101,4.2,5.0,0.0389,1.3
43,Poached Turkey Normandy,23346,211,14.6,3.2,0.36469999999999997,0.8
44,Pesto Herb Spread,23347,90,0.1,8.9,0.0844,5.2
45,Creamy Lemon Pie II,23348,172,3.6,11.8,0.1271,5.3
46,Lebkuchen IV,23349,64,8.7,0.7,0.016300000000000002,0.1
47,Nacho Dip III,23350,32,0.3,2.4,0.0668,1.1
48,Walnut Raisin Pie,23351,470,34.1,21.9,0.4081,7.8
49,False Cabbage Rolls,23352,295,11.8,14.9,0.9941,6.4
50,S'mores at Home,23353,212,17.2,12.9,0.1274,7.5
51,Pastry Cream for Pies,23355,115,14.2,3.7,0.0259,1.9
52,Butterscotch Squares,23356,220,15.6,13.3,0.12129999999999999,7.1
53,Cinnamon Pancakes in a Jar,23357,382,7.7,7.9,1.0149,1.7
54,Run For The Roses Pie II,23359,616,42.8,36.1,0.3529,8.8
55,Platski,23360,346,3.8,7.3,1.3022,1.2
56,Atlantic Corn Chowder,23361,299,16.4,2.5,0.4076,1.3
57,Kapusta,23362,151,5.6,11.8,0.7605,7.4
58,Pumpkin-Pine Cookies,23363,72,5.1,3.5,0.0264,1.4
59,Baked Yam and Potato Casserole,23364,303,6.0,16.5,0.38439999999999996,10.2
60,Easy Eggplant Dish,23365,177,6.6,5.7,0.2691,2.6
61,Forever Amber,23366,103,12.9,4.7,0.0197,1.7
62,Caramel Chocolate Corn,23367,147,10.4,9.4,0.1835,3.6
63,Mumze's Sticky Chicken,23369,690,31.2,36.3,1.9830999999999999,10.2
64,Cheese Easy Squares,23370,45,0.2,4.5,0.061700000000000005,1.0
65,Apple Strudel,23371,431,24.2,15.6,0.42210000000000003,8.3
66,Pepper Rice and Confetti Beef,23372,410,10.3,7.2,0.21530000000000002,1.9
67,Layered Dip,23373,77,1.7,6.0,0.18819999999999998,3.2
68,Wagon Wheel Cookies,23374,142,14.6,5.9,0.09309999999999999,1.3
69,Waterzooi (Vaterzoy),23375,341,1.9,24.2,0.8227000000000001,8.8
70,Cinnamon Swirl Bread,23376,233,23.2,7.1,0.19540000000000002,1.4
71,Smoked Tuna Dip,23377,50,0.6,4.3,0.14830000000000002,1.6
72,Country Manor Breakfast Tart,23378,495,1.7,40.8,0.4929,16.7
73,Tucson Lemon Cake,23379,625,71.0,21.3,0.5605,3.9
