,name,id,calories,sugars,fat,saturated fat,sodium
0,Asian Roll Lettuce Wrap,32202,369,6.8,9.9,2.4,0.9512999999999999
1,Rice Mess,32203,472,4.1,28.7,13.4,0.71
2,Grilled Chicken and Sun-Dried Tomato Subs,32206,472,3.1,18.2,3.5,0.659
3,Hot Shredded Chicken Sandwiches,32209,367,1.3,16.5,4.2,0.7065
4,Pickled Sausage,32217,136,0.0,11.6,4.9,1.8816
5,Sharon's Scrumptious Souvlaki,32219,814,11.0,53.2,17.5,0.7662
6,Summer Chicken Burgers,32220,587,6.8,32.2,10.3,0.6366
7,Southern Chicken Fried Steak,32222,379,0.2,10.8,3.6,0.1678
8,Calypso Coffee,32230,194,14.5,0.2,0.0,0.0074
9,Coffee Flavored Liqueur II,32232,159,24.0,0.0,0.0,0.0016
10,A Perfect Margarita,32234,614,77.0,0.2,0.0,0.0056
11,Dirty Martini,32238,414,0.2,2.8,0.4,0.5384
12,Cafe Latte Milkshake,32240,96,13.8,2.6,1.5,0.0339
13,Blueberry Vodka Martinis,32241,326,13.6,0.2,0.0,0.0029
14,Orange Surprise Punch,32243,107,23.3,0.2,0.0,0.0062
15,Best Frozen Daiquiris,32253,148,16.4,0.0,0.0,0.0027
16,Double-O Seven,32257,202,7.6,0.1,0.0,0.0121
17,Candie's Fluffy Cloud Punch,32258,42,4.8,0.3,0.2,0.0183
18,Madcat,32262,340,0.0,0.0,0.0,0.0148
19,Mai Tai II,32266,270,30.4,0.4,0.0,0.0054
20,Coffee Flavored Liqueur I,32267,122,17.6,0.0,0.0,0.0063
21,Chocoholic's Nightcap,32269,242,30.7,5.6,3.5,0.1031
22,Cold Cocoa Smoothie,32274,582,55.8,24.2,11.0,0.5169
23,Orange Pear Shake,32284,121,17.9,3.2,1.9,0.0265
24,Frosted Almond,32285,319,34.3,5.4,3.3,0.0509
25,Hot Cocoa Mix in a Jar,32292,231,22.2,10.4,6.7,0.16
26,Conchi's Sangria,32293,97,5.6,0.0,0.0,0.009
